booking_id,asset_tag,asset_name,booking_date,weekday,start_hour,duration_minutes,booked_by,status
BK-00001,AF-0004,Generator,2026-01-08,Thursday,14,90,E-0011,Completed
BK-00002,AF-0004,Generator,2025-09-16,Tuesday,16,30,E-0020,Completed
BK-00003,AF-0004,Generator,2026-02-10,Tuesday,16,60,E-0023,Completed
BK-00004,AF-0004,Generator,2025-08-18,Monday,15,30,E-0031,Completed
BK-00005,AF-0004,Generator,2026-03-10,Tuesday,11,60,E-0036,Completed
BK-00006,AF-0004,Generator,2026-04-02,Thursday,9,90,E-0008,Completed
BK-00007,AF-0004,Generator,2025-12-12,Friday,16,90,E-0058,Completed
BK-00008,AF-0004,Generator,2026-04-02,Thursday,15,90,E-0002,Completed
BK-00009,AF-0004,Generator,2025-10-31,Friday,9,60,E-0050,Completed
BK-00010,AF-0004,Generator,2026-05-13,Wednesday,15,30,E-0015,Completed
BK-00011,AF-0004,Generator,2025-10-04,Saturday,10,30,E-0045,Completed
BK-00012,AF-0004,Generator,2025-07-15,Tuesday,15,60,E-0028,Completed
BK-00013,AF-0004,Generator,2026-02-16,Monday,15,30,E-0059,Cancelled
BK-00014,AF-0004,Generator,2025-12-17,Wednesday,16,120,E-0045,Completed
BK-00015,AF-0005,Projector,2026-02-28,Saturday,17,60,E-0045,Completed
BK-00016,AF-0005,Projector,2026-05-16,Saturday,12,60,E-0003,Completed
BK-00017,AF-0005,Projector,2026-05-22,Friday,14,60,E-0040,Completed
BK-00018,AF-0005,Projector,2026-02-23,Monday,14,30,E-0041,Completed
BK-00019,AF-0005,Projector,2026-04-06,Monday,11,30,E-0026,Completed
BK-00020,AF-0005,Projector,2026-02-17,Tuesday,17,30,E-0051,Cancelled
BK-00021,AF-0005,Projector,2025-08-27,Wednesday,13,60,E-0032,Completed
BK-00022,AF-0005,Projector,2025-08-01,Friday,14,90,E-0056,Completed
BK-00023,AF-0005,Projector,2026-04-16,Thursday,11,90,E-0025,Completed
BK-00024,AF-0005,Projector,2026-07-10,Friday,14,60,E-0008,Completed
BK-00025,AF-0005,Projector,2026-02-06,Friday,12,60,E-0053,Completed
BK-00026,AF-0005,Projector,2025-12-02,Tuesday,17,120,E-0015,Completed
BK-00027,AF-0005,Projector,2026-01-27,Tuesday,14,60,E-0060,Completed
BK-00028,AF-0005,Projector,2026-01-21,Wednesday,15,60,E-0003,Completed
BK-00029,AF-0005,Projector,2026-04-21,Tuesday,14,90,E-0047,Completed
BK-00030,AF-0005,Projector,2025-12-17,Wednesday,10,90,E-0044,Completed
BK-00031,AF-0005,Projector,2026-06-23,Tuesday,17,90,E-0024,Completed
BK-00032,AF-0005,Projector,2026-01-05,Monday,14,30,E-0003,Completed
BK-00033,AF-0005,Projector,2025-11-10,Monday,12,30,E-0059,Completed
BK-00034,AF-0005,Projector,2026-02-20,Friday,10,30,E-0052,Completed
BK-00035,AF-0009,Docking Station,2026-04-28,Tuesday,14,30,E-0034,Completed
BK-00036,AF-0009,Docking Station,2026-05-19,Tuesday,11,30,E-0035,Completed
BK-00037,AF-0010,Pickup Truck,2026-04-19,Sunday,14,90,E-0027,Cancelled
